train_acc,test_acc,train_loss,test_loss
0.49193942354665365,0.49731471535982813,0.7180502498522401,0.6943403169260187
0.512457254518808,0.5021482277121375,0.7088926732540131,0.6983086143509817
0.5569125549584758,0.5370569280343717,0.684238838031888,0.6866668371830956
0.5784074255007328,0.5698174006444683,0.6731753032654524,0.6718315017425408
0.6160234489496824,0.5714285714285714,0.652127324603498,0.6759805153992217
0.6492427943331704,0.6552094522019334,0.6397103164345026,0.6459731732384634
0.6785539814362481,0.6895810955961332,0.6321854908019304,0.616999575142133
0.7024914509037616,0.7078410311493019,0.6132696392014623,0.6139822496195971
0.7381533952125061,0.7142857142857143,0.597126005217433,0.6175117593700603
0.7537860283341475,0.7207303974221267,0.5882992278784513,0.6037650143696089
0.7532975085490963,0.7228786251342643,0.5753487776964903,0.5941117794836982
0.7601367855398143,0.6799140708915145,0.564584334846586,0.6158754386134067
0.7664875427454811,0.6874328678839957,0.5600784034468234,0.6085642550961446
0.7669760625305325,0.658968850698174,0.5552051411941648,0.6257701208025722
0.7791890571568149,0.7261009667024705,0.5399808119982481,0.5885303803419663
0.782608695652174,0.723952738990333,0.5345049281604588,0.5751126691446466
0.7992183683439179,0.7277121374865736,0.5167449205182493,0.5867196962995044
0.8099658036150464,0.7293233082706767,0.5165312550961971,0.5795140119932466
0.8124084025403029,0.6933404940923737,0.5147956698201597,0.6042598708201263
0.8133854421104054,0.7164339419978518,0.49996950244531035,0.5822975185968108
0.8080117244748413,0.7244897959183674,0.5031516030430794,0.5657702684402466
0.8353688324377138,0.6842105263157895,0.47425730619579554,0.6059711823018931
0.84904738641915,0.7013963480128894,0.4599617118947208,0.5861688387596001
0.865657059110894,0.700859291084855,0.4322327193804085,0.5886258018218865
0.8793356130923302,0.7062298603651987,0.4081542962230742,0.5728362424898956
